Figure Panel,Bar,"Correlation Ratio
Data Set 1","Correlation Ratio
Data Set 2","Correlation Ratio
Data Set 3","Correlation Ratio
Data Set 4","Correlation Ratio
Data Set 5"
,"TL-Multi
(Aux: EUR, Tar; SAS)",0.3653,0.2312,0.2669,0.3856,0.2244
,"PRS-CSx
(Aux: EUR, Tar: SAS)",0.6503,0.5811,0.6402,0.6997,0.5923
,"PROSPER
(Aux: EUR, Tar: SAS)",0.6239,0.5745,0.6230,0.6780,0.5843
,"SBayesRC-Multi
(Aux: EUR, Tar: SAS)",0.5691,0.5389,0.5543,0.5547,0.5243
,"MPP-GWAS
(Aux: EUR, Tar: SAS)",0.7225,0.6457,0.6647,0.7247,0.6644
,"MPP-GWAS-TarSS
(Aux: EUR, Tar: SAS)",0.6472,0.5831,0.6723,0.6050,0.7054
,"MPP-PRS
(Aux: EUR, Tar: SAS)",0.6862,0.5194,0.6086,0.5657,0.6407
,"MPP-PRS+
(Aux: EUR, Tar: SAS)",0.6433,0.6859,0.7290,0.6789,0.6979
,"PRS-CSx
(Aux: EUR+EAS, Tar: SAS)",0.6507,0.5821,0.6300,0.6486,0.5785
,"PROSPER
(Aux: EUR+EAS, Tar: SAS)",0.6465,0.5943,0.6515,0.6654,0.6117
,"SBayesRC-Multi
(Aux: EUR+EAS, Tar: SAS)",0.5728,0.5523,0.5584,0.5400,0.5642
,"MPP-GWAS
(Aux: EUR+EAS, Tar: SAS)",0.7474,0.6674,0.6815,0.6475,0.7304
,"MPP-GWAS-TarSS
(Aux: EUR+EAS, Tar: SAS)",0.6444,0.5863,0.6751,0.6574,0.6359
,"MPP-PRS
(Aux: EUR+EAS, Tar: SAS)",0.6866,0.5173,0.6135,0.6630,0.5253
,"MPP-PRS+
(Aux: EUR+EAS, Tar: SAS)",0.6436,0.6919,0.7305,0.7706,0.5935
,"MPP-GWAS-Admix
(Aux: EUR+EAS, Tar: SAS)",0.7377,0.6542,0.6724,0.7202,0.6533
,"PRS-CSx
(Aux: EUR+EAS+AMR, Tar: SAS)",0.6486,0.5883,0.6291,0.6699,0.6108
,"PROSPER
(Aux: EUR+EAS+AMR, Tar: SAS)",0.6745,0.5994,0.6623,0.6737,0.6370
,"SBayesRC-Multi
(Aux: EUR+EAS+AMR, Tar: SAS)",0.5954,0.5537,0.5802,0.5860,0.5899
,"MPP-GWAS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.7533,0.6788,0.6844,0.7696,0.6411
,"MPP-GWAS-TarSS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.6539,0.5956,0.6755,0.6435,0.6349
,"MPP-PRS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.6879,0.5161,0.6131,0.6901,0.5008
,"MPP-PRS+
(Aux: EUR+EAS+AMR, Tar: SAS)",0.6438,0.6920,0.7316,0.7621,0.6111
,"MPP-GWAS-Admix
(Aux: EUR+EAS+AMR, Tar: SAS)",0.7435,0.6582,0.6756,0.7352,0.6511
,"PRS-CSx
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6435,0.5794,0.6243,0.6162,0.5994
,"PROSPER
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6783,0.6167,0.6748,0.6652,0.6174
,"SBayesRC-Multi
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6187,0.5657,0.5877,0.5954,0.5759
,"MPP-GWAS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.7494,0.6803,0.6894,0.7738,0.6258
,"MPP-GWAS-TarSS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6501,0.5922,0.6742,0.6633,0.5904
,"MPP-PRS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6856,0.5173,0.6132,0.6434,0.5542
,"MPP-PRS+
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.6443,0.6920,0.7405,0.7105,0.6455
,"MPP-GWAS-Admix
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.7432,0.6609,0.6874,0.7770,0.6344
Main Text Figure 2d,"Baseline GWAS
(Aux: NA, Tar: SAS)",0.5179,0.6061,0.4462,0.5138,0.3975
,"Lassosum2-ExtLD
(Aux: NA, Tar: SAS)",0.5092,0.5447,0.4178,0.4544,0.3633
,"Lassosum-TrueLD
(Aux: NA, Tar: SAS)",0.4701,0.5344,0.3643,0.4458,0.4457
,"SBayesRC(O)
(Aux: NA, Tar: SAS)",0.4406,0.5056,0.3713,0.4736,0.3206
