,SET 1.1.1,0.1514,0.1543,0.1620,0.1616,SET 1.2.1,0.6346,0.6338,0.6335,0.6334,,SET 2.1.1,0.2397,0.2432,0.2418,0.2411,SET 2.2.1,0.4254,0.4272,0.4261,0.4237
,SET 1.1.2,0.4818,0.4498,0.4493,0.4489,SET 1.2.2,0.7535,0.7540,0.7542,0.7537,,SET 2.1.2,0.0791,0.0784,0.0783,0.1000,SET 2.2.2,0.5819,0.5804,0.5797,0.5797
,SET 1.1.3,0.5738,0.5775,0.5777,0.5782,SET 1.2.3,0.7359,0.7351,0.7339,0.7336,,SET 2.1.3,0.3655,0.3604,0.3296,0.3312,SET 2.2.3,0.2244,0.2235,0.2228,0.2224
,SET 1.1.4,0.3747,0.3899,0.3979,0.4012,SET 1.2.4,0.5909,0.5905,0.5905,0.5904,,SET 2.1.4,0.4556,0.4451,0.4338,0.3920,SET 2.2.4,0.6737,0.6745,0.7003,0.6990
,SET 1.1.5,0.4490,0.4546,0.4566,0.4535,SET 1.2.5,0.7226,0.7232,0.7219,0.7216,,SET 2.1.5,0.1412,0.1500,0.1576,0.1632,SET 2.2.5,0.5912,0.5892,0.5885,0.5883
,AVERAGE,0.4061,0.4052,0.4087,0.4087,AVERAGE,0.6875,0.6873,0.6868,0.6866,,AVERAGE,0.2562,0.2554,0.2482,0.2455,AVERAGE,0.4993,0.4990,0.5035,0.5026
,STD DEV,0.1594,0.1560,0.1529,0.1529,STD DEV,0.0708,0.0711,0.0709,0.0707,,STD DEV,0.1554,0.1496,0.1398,0.1191,STD DEV,0.1780,0.1779,0.1847,0.1848
,"Equal Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Equal Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",,"Equal Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Equal Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.1514,0.1765,0.2079,0.1935,SET 1.2.1,0.6346,0.6303,0.6289,0.6269,,SET 2.1.1,0.2397,0.2462,0.2404,0.2398,SET 2.2.1,0.4254,0.4290,0.4236,0.4200
,SET 1.1.2,0.4818,0.3193,0.3165,0.2745,SET 1.2.2,0.7535,0.7508,0.7470,0.7441,,SET 2.1.2,0.0791,0.0774,0.0770,0.1136,SET 2.2.2,0.5819,0.5780,0.5760,0.5768
,SET 1.1.3,0.5738,0.5739,0.5631,0.5606,SET 1.2.3,0.7359,0.7612,0.7560,0.7467,,SET 2.1.3,0.3655,0.3227,0.1996,0.2197,SET 2.2.3,0.2244,0.2221,0.2367,0.2367
