,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
,EurEasAmr,0.6775996242,0.04313380771,0.736988931,0.01792795992,0.7303392476,0.02420614049,0.6580354476,0.01782637654,0.7373277643,0.02390419414,0.6286325841,0.01611293281,0.5926656227,0.01066350916,0.712606375,0.01869518212,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,EurEasAfr,0.6778938612,0.04336960429,0.7396150165,0.01255011561,0.7305098898,0.02339934128,0.6581954702,0.01812585182,0.7425342232,0.02543768873,0.6286325841,0.01611293281,0.5923018032,0.009558070212,0.7016242241,0.01599355035,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,EurAmrAfr,0.6770694601,0.04349708781,0.7423317727,0.01403669332,0.7273939742,0.02284106482,0.658414253,0.01843984427,0.7374734856,0.02006068727,0.6286325841,0.01611293281,0.5922385255,0.008431495917,0.7066852421,0.01560252498,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,EasAmrAfr,0.6741833791,0.04365640128,0.7394651067,0.01200677952,0.7242437825,0.02058947979,0.6567163941,0.01791147811,0.7384750181,0.02397049189,0.6286325841,0.01611293281,0.5914733712,0.008407756186,0.7017296871,0.01857600014,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
,EurEasAmrAfr,0.6783073164,0.04331575051,0.7420796862,0.0129634505,0.7324160098,0.02408142958,0.6585907565,0.01814502549,0.7434834654,0.02233864363,0.6286325841,0.01611293281,0.5891572655,0.009302009636,0.7179741982,0.0163591764,0.5662045905,0.01492456692,0.7023172631,0.0198634614,--,--
"Heritability
0.9",EurOnly,0.7924514893,0.0446460222,0.8696239864,0.003333576591,--,--,0.6439524514,0.01308690406,0.8212272863,0.005381943958,0.6215058452,0.01287926679,0.6328981571,0.01153978124,0.7132374708,0.01533341813,0.604104317,0.01470562668,0.8170976595,0.008790694426,0.4024199806,0.02384387569
,EasOnly,0.7927325418,0.04686604368,0.8703973131,0.009437872289,--,--,0.6467408692,0.0182443602,0.8263090112,0.01273968506,0.6215058452,0.01287926679,0.6316060174,0.01046128584,0.7062280297,0.009514417662,0.604104317,0.01470562668,0.8170976595,0.008790694426,0.4046648081,0.02271259238
,AmrOnly,0.7902190618,0.04176759651,0.8711512618,0.006953591106,--,--,0.6308593602,0.01968561971,0.8196605478,0.009600336008,0.6215058452,0.01287926679,0.6333258505,0.009975942206,0.7031011662,0.01639642728,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,AfrOnly,0.7924677924,0.04307832918,0.8730986141,0.005164837847,--,--,0.6372738047,0.01489151998,0.8230801952,0.009286561633,0.6215058452,0.01287926679,0.6314731069,0.01259587337,0.7016415874,0.01326420705,0.604104317,0.01470562668,0.8170976595,0.008790694426,0.4260323413,0.02529507093
,EurAmr,0.7938814701,0.04268661581,0.8848775481,0.004463278089,0.8229994828,0.007536149877,0.6409495406,0.01671875098,0.8302393239,0.004905138264,0.6215058452,0.01287926679,0.6241259099,0.0119012346,0.7472109748,0.01737018073,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
