,,,Baseline GWAS,PROSPER,Lassosum2-ExtLD,PRSCSX,TL-Multi,Lassosum-TrueLD,MultiPopPred-GWAS-Vanilla,MultiPopPred-GWAS-ExtLD,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS-Vanilla,MultiPopPred-PRS-Vanilla-TrueLD
,,Validation R2,--,0.3799243,0.07591842,0.0420104752,0.02422255311,0.05238208361,0.05286178335,0.05789942068,0.05286178507,0.07921531059,0.0615036254
,,Testing R2,0.04414176,0.06500452,0.05117442,0.0381088663,0.03121082447,0.04145323019,0.0399961547,0.04408994947,0.0399961532,0.05201724503,0.04576152142
,Data Set 2,Training R2,0.7294914,0.6305953,0.7219335,0.70600029,0.01059643478,0.6530924633,0.6530925154,0.7344691731,0.6530925124,0.5579998438,0.8566782765
,,Validation R2,--,0.4869178,0.06317777,0.0267833021,0.02850252916,0.0258326474,0.0258326545,0.03080627599,0.02583265414,0.07256887119,0.0344114615
,,Testing R2,0.04391582,0.07010865,0.06999032,0.03926365568,0.02007967645,0.04205403343,0.04205403545,0.04371405715,0.04205403636,0.06672847434,0.06394156054
,Data Set 3,Training R2,0.8448097,0.6705539,0.8023065,0.7987288447,0.009257708721,0.7859721854,0.7859722621,0.8567179904,0.7859722604,0.674769834,0.9047882266
,,Validation R2,--,0.4563931,0.1083254,0.04674644489,0.03883123079,0.07242309964,0.07242309884,0.05777561282,0.07242310018,0.06387667349,0.06738530881
,,Testing R2,0.03434367,0.04784075,0.04870134,0.0327671501,0.0332627889,0.03605229634,0.03605228386,0.03593988428,0.03605228085,0.06182936118,0.03807506208
,Average,Training R2,0.800559,0.6615021333,0.7657172667,0.7610541223,0.01086663756,0.76284478,0.7320115872,0.8071668702,0.7320115853,0.6097845255,0.887322564
,,Validation R2,--,0.4410784,0.08247386333,0.0385134074,0.03051877102,0.05021261022,0.05037251223,0.04882710316,0.05037251313,0.07188695176,0.05443346523
,,Testing R2,0.04080041667,0.06098464,0.05662202667,0.03671322403,0.02818442994,0.03985318666,0.03936749134,0.04124796363,0.03936749014,0.06019169352,0.04925938135
,Standard Deviation,Training R2,0.06216057571,0.02752099894,0.04066664192,0.0487459876,0.001759658659,0.1002105862,0.06986735969,0.06432741518,0.06986736054,0.05949369768,0.02662515616
,,Validation R2,--,0.05511630691,0.02327675883,0.01043090983,0.007510145756,0.02337086907,0.02339475858,0.0156066169,0.02339475949,0.007692022334,0.01758718355
,,Testing R2,0.005592847697,0.01166552266,0.01164313021,0.003465834559,0.007093511923,0.003305346656,0.003049863726,0.00460077206,0.003049865611,0.007491096948,0.01328326781
