"Area under PR Curve
(Average Precision)",,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+,,Area under ROC,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+
Allergy,Data Set 1,Training R2,0.782783945,0.727338452,0.771521580,0.491702313,0.242280055,0.929057290,0.117657294,0.207667546,0.2316991603,0.2384405058,NA,0.2383423741,0.2432088297,0.2666679446,,Allergy,Data Set 1,Training R2,0.903048785,0.883016512,0.899469233,0.755542111,0.535850455,0.975192446,0.051691829,0.488466953,0.5195166354,0.530211484,NA,0.5300530104,0.5368603793,0.5680299749
,,Validation R2,0.297573312,0.363439552,0.302897574,0.300835032,0.305184699,0.210360908,0.225026486,0.217241188,0.3025932603,0.30087544,NA,0.300950607,0.298703761,0.297788612,,,,Validation R2,0.630869501,0.681688639,0.632724041,0.631384980,0.630531773,0.488141016,0.508126204,0.503510591,0.6307391498,0.6303540216,NA,0.6303066212,0.6290031107,0.6275929492
,,Testing R2,0.240755202,0.253657252,0.241396289,0.234109175,0.240964662,0.233743330,0.225154246,0.220396002,0.2415678789,0.2412891834,NA,0.2411396276,0.2399867629,0.2381977441,,,,Testing R2,0.541408052,0.557739412,0.537858791,0.525659318,0.535754203,0.493953770,0.510742907,0.509975982,0.5361109129,0.5364141162,NA,0.5363071033,0.5338458063,0.5316044803
,Data Set 2,Training R2,0.765670845,0.301850073,0.529954435,0.452238414,0.242882488,0.966260029,0.127424979,0.208804759,0.2314684823,0.2384618509,NA,0.2383661245,0.2395366542,0.227697295,,,Data Set 2,Training R2,0.895019274,0.620268823,0.777109608,0.730134437,0.536728410,0.989036795,0.176871033,0.490370569,0.5191337957,0.5301704391,NA,0.5299804917,0.5337028718,0.5132673291
,,Validation R2,0.297589821,0.492620889,0.296844221,0.298935636,0.304587078,0.202875476,0.255344906,0.224210365,0.3028844842,0.3011395029,NA,0.3008946271,0.2997303965,0.298005911,,,,Validation R2,0.630608799,0.759727448,0.629957043,0.630970227,0.631183528,0.474774108,0.555544364,0.513894238,0.6309050511,0.6304784476,NA,0.6303184713,0.6327892164,0.6280491779
,,Testing R2,0.240651153,0.247888290,0.242007403,0.236841340,0.241899652,0.207146358,0.226402765,0.190054816,0.2414999666,0.2410550641,NA,0.2411084649,0.2391735443,0.2386369527,,,,Testing R2,0.540070391,0.535992010,0.535837435,0.528542722,0.536402226,0.473163540,0.519161257,0.456689496,0.5359325581,0.5358612161,NA,0.5359860645,0.5311704835,0.531556919
,Data Set 3,Training R2,0.202816074,0.162501467,0.162501467,0.196625227,0.241352691,0.831322267,0.137091418,0.216152013,0.2225292556,0.2349298435,NA,0.2355909641,0.2409787865,0.1398058808,,,Data Set 3,Training R2,0.476781783,0.363202808,0.363202808,0.464358450,0.544248266,0.950148838,0.249105526,0.502191941,0.5157300192,0.5355723445,NA,0.5366737449,0.543692964,0.2571797633
,,Validation R2,0.304865660,0.305939442,0.305939442,0.307651555,0.306937529,0.207611594,0.218476191,0.213878372,0.3108477223,0.3097043687,NA,0.309913106,0.3075627528,0.3128116128,,,,Validation R2,0.617822545,0.621691601,0.621691601,0.617591468,0.617822545,0.502929936,0.515200711,0.498222486,0.6209509702,0.6196711598,NA,0.6198489113,0.6175914679,0.6236113168
,,Testing R2,0.237610095,0.233191933,0.233191933,0.237799538,0.240178989,0.232820102,0.200185907,0.214801198,0.237952893,0.2381245788,NA,0.2382017466,0.2393844654,0.2388980503,,,,Testing R2,0.525023186,0.521670115,0.521670115,0.522746189,0.528625954,0.528548667,0.457819077,0.501266319,0.5260398088,0.5266997218,NA,0.5265570379,0.527038596,0.5219970988
,Average,Training R2,0.583756955,0.397229997,0.487992494,0.380188651,0.242171745,0.908879862,0.127391230,0.210874773,0.2285656328,0.2372774001,NA,0.2374331543,0.2412414235,0.2113903735,,,Average,Training R2,0.758283280,0.622162714,0.679927216,0.650011666,0.538942377,0.971459360,0.159222796,0.493676488,0.5181268168,0.5319847559,NA,0.532235749,0.538085405,0.4461590224
